ID,Title,Description,Type,Comments,Link 1,Link 2
id_a_f_3,!Susie (http://www.sync2it.com/susie),Sync2It bookmark management & clustering engine,C R,,http://www.sync2it.com,
id_a_f_6,<a href='http://www.unchaos.com/'> UnChaos </a> From Chaos To Order Hybrid Web Search Engine.(vadim_gonchar@unchaos.com),UnCHAOS search robot,R,Site is dead,http://www.unchaos.com/,
id_a_f_7,<a href='http://www.unchaos.com/'> UnChaos Bot Hybrid Web Search Engine. </a> (vadim_gonchar@unchaos.com),UnCHAOS search robot,R,Site is dead,http://www.unchaos.com/,
id_a_f_8,<b> UnChaosBot From Chaos To Order UnChaos Hybrid Web Search Engine at www.unchaos.com </b> (info@unchaos.com),UnCHAOS search robot,R,Site is dead,http://www.unchaos.com/,
id_a_f_9,<http://www.sygol.com/> http://www.sygol.com,Sygol Search (Italy) robot,R,s.also SygolBot,http://www.sygol.com/,
id_a_f_4,( Robots.txt Validator http://www.searchengineworld.com/cgi-bin/robotcheck.cgi ),SearchEngineWorld's robots.txt validator,C,Services is no more available,http://www.searchengineworld.com/cgi-bin/robotcheck.cgi,
id_a_f_171105_1,(DreamPassport/3.0; isao/MyDiGiRabi),DreamCast DreamPassport browser,B,,http://www.dricas.com/dp/,
id_a_f_290606_1,(Privoxy/1.0),Privoxy web proxy,P,s.also Privoxy/3.0 (Anonymous),http://www.privoxy.org/,
id_a_f_230507_1,*/Nutch-0.9-dev,Unknown Yahoo robot,R,123.113.184.2xx,http://www.yahoo.com,
id_a_f_5,+SitiDi.net/SitiDiBot/1.0 (+Have Good Day),SitiDi.net search (Germany) robot,R,,http://www.sitidi.net/,
id_a_f_1,-DIE-KRAEHE- META-SEARCH-ENGINE/1.1 http://www.die-kraehe.de,Die Kraehe Meta-Search-Engine (Germany) link checking,R,,http://www.die-kraehe.de,
id_a_f_060206_1,"123spider-Bot (Version: 1.02, powered by www.123spider.de",123spider.de (Germany) web directory link checking,C,,http://www.123spider.de/,
id_a_f_180806_1,192.comAgent,192.com - UK web directory,R,217.160.75.2xx,http://www.192.com/,
id_a_f_060606_1,1st ZipCommander (Net) - http://www.zipcommander.com/,1st ZipCommander Net - IE based browser,B,,http://www.zipcommander.com/,
id_a_f_10,2Bone_LinkChecker/1.0 libwww-perl/5.64,2Bone online link checker,C,,http://www.2bone.com/links/linkchecker.shtml,
id_a_f_11,4anything.com LinkChecker v2.0,4Anything robot,R,,http://www.4anything.com,
id_a_f_110207_1,8484 Boston Project v 1.0,Unknown guestbook spamming or harvesting tool from diff. IPs,S,s. various honey pot sites,http://www.projecthoneypot.org/bsh_X19tb2RlPWdsb2JhbCZfX2J5PWMmY3RyeT11cyZ1YWc9ODQ4NCtCb3N0b24rUHJvamVjdCt2KzEuMA..,
id_a_f_2,:robot/1.0 (linux) ( admin e-mail: undefined http://www.neofonie.de/loesungen/search/robot.html ),neofonie search robot Germany,R,,http://www.neofonie.de/loesungen/search/,
id_a_f_12,A-Online Search,A-Online.at robot - now Jet2Web Search,R,,http://www.jet2web.net/portal,
id_a_f_090707_1,A1 Keyword Research/1.0.2 (+http://www.micro-sys.dk/products/keyword-research/) miggibot/2007.03.27,A1 Keyword Research - search engine and keyword optimization software,C,,http://www.micro-sys.dk/products/keyword-research/,
id_a_f_100906_1,A1 Sitemap Generator/1.0 (+http://www.micro-sys.dk/products/sitemap-generator/) miggibot/2006.01.24,MiggiBot website crawler engine - A1 Sitemap Generator,R,,http://www.micro-sys.dk/products/sitemap-generator/,http://www.micro-sys.dk/developer/miggibot/
id_a_f_250408_2,aardvark-crawler,Aardvark web crawler for Sun's Blog recommendations,R,192.9.71.7x,http://blogs.sun.com/plamere/,
id_a_f_13,AbachoBOT,Abacho / Crawler.de robot,R,,http://www.abacho.com,
id_a_f_14,AbachoBOT (Mozilla compatible),Abacho / Crawler.de robot,R,,http://www.abacho.com,
id_a_f_15,ABCdatos BotLink/5.xx.xxx#BBL,ABCdatos - Castilian program & tutorial directory,R,,http://www.abcdatos.com,
id_a_f_16,Aberja Checkomat,Aberja Hybridsuchmaschine (Germany) link checking,R,,http://www.aberja.de,
id_a_f_17,abot/0.1 (abot; http://www.abot.com; abot@abot.com),Nameprotect copyright search robot (24.177.134.x),R,s. also - np/0.1_(np;_http://www.nameprotect.com... - aipbot/1.0 (aipbot; http://www.aipbot.com...,http://www.nameprotect.com/,
id_a_f_18,About/0.1libwww-perl/5.47,About robot,R,,http://www.about.com,
id_a_f_051206_3,Accelatech RSSCrawler/0.4,Accela Technology RSS feed crawler,R,125.100.242.2xx,http://www.accelatech.com/,
id_a_f_19,accoona,Accoona Search robot,R,65.17.255.xx,http://www.accoona.com,
id_a_f_20,Accoona-AI-Agent/1.1.1 (crawler at accoona dot com),Accoona Search robot,R,65.17.255.xx,http://www.accoona.com,
id_a_f_140906_3,Accoona-AI-Agent/1.1.2 (aicrawler at accoonabot dot com),Accoona Search robot,R,65.17.255.xx,http://www.accoona.com,
id_a_f_21,Ace Explorer,Ace Explorer - IE based browser,B,,http://www.aceexplorer.com,
id_a_f_280806_1,Ack (http://www.ackerm.com/),Ackerm search robot,R,64.74.153.xx,http://www.ackerm.com/,
id_a_f_22,AcoiRobot,Acoi picture finder robot,R,,http://monetdb.cwi.nl/acoi/projects.html,
id_a_f_23,Acoon Robot v1.50.001,Acoon.de search (Germany) robot,R,80.237.153.10x,http://www.acoon.de,
id_a_f_24,Acoon Robot v1.52 (http://www.acoon.de),Acoon.de search (Germany) robot,R,80.237.153.10x,http://www.acoon.de,
id_a_f_100508_1,Acoon-Robot 4.0.x.[xx] (http://www.acoon.de),Acoon.de search (Germany) robot,R,80.237.209.xx,http://www.acoon.de,
id_a_f_010108_1,Acoon-Robot v3.xx (http://www.acoon.de and http://www.acoon.com),Acoon.de search (Germany) robot,R,80.237.153.10x,http://www.acoon.de,
id_a_f_110507_1,Acorn/Nutch-0.9 (Non-Profit Search Engine; acorn.isara.org; acorn at isara dot org),Acorn Search Project,R,124.157.145.1xx,http://acorn.no-ip.org/,
id_a_f_25,ActiveBookmark 1.x,LibMaster.com Active Bookmark HTML page creator,C B,,http://www.libmaster.com/software.php,
id_a_f_060806_2,Activeworlds,Activeworlds 3D homepage browser,B,,http://www.activeworlds.com,
id_a_f_26,ActiveWorlds/3.xx (xxx),Activeworlds 3D homepage browser,B,,http://www.activeworlds.com,
